API reference URL,JS method docs,Python method docs
https://docs.apify.com/api/v2#/reference/request-queues/batch-request-operations/add-requests,https://docs.apify.com/api/client/js/reference/class/RequestQueueClient#batchAddRequests,https://docs.apify.com/api/client/python/reference/class/RequestQueueClient#batch_add_requests
https://docs.apify.com/api/v2#/reference/request-queues/batch-request-operations/delete-requests,https://docs.apify.com/api/client/js/reference/class/RequestQueueClient#batchDeleteRequests,https://docs.apify.com/api/client/python/reference/class/RequestQueueClient#batch_delete_requests
https://docs.apify.com/api/v2#/reference/request-queues/queue/delete-request-queue,https://docs.apify.com/api/client/js/reference/class/RequestQueueClient#delete,#N/A
https://docs.apify.com/api/v2#/reference/request-queues/request-lock/delete-request-lock,https://docs.apify.com/api/client/js/reference/class/RequestQueueClient#deleteRequestLock,https://docs.apify.com/api/client/python/reference/class/RequestQueueClient#delete_request_lock
https://docs.apify.com/api/v2#/reference/request-queues/queue/get-request-queue,https://docs.apify.com/api/client/js/reference/class/RequestQueueClient#get,https://docs.apify.com/api/client/python/reference/class/RequestQueueClient#get
https://docs.apify.com/api/v2#/reference/request-queues/request/get-request,https://docs.apify.com/api/client/js/reference/class/RequestQueueClient#getRequest,https://docs.apify.com/api/client/python/reference/class/RequestQueueClient#get_request
https://docs.apify.com/api/v2#/reference/request-queues/queue-head-with-locks/get-head-and-lock,https://docs.apify.com/api/client/js/reference/class/RequestQueueClient#listAndLockHead,https://docs.apify.com/api/client/python/reference/class/RequestQueueClient#list_and_lock_head
https://docs.apify.com/api/v2#/reference/request-queues/queue-head/get-head,https://docs.apify.com/api/client/js/reference/class/RequestQueueClient#listHead,https://docs.apify.com/api/client/python/reference/class/RequestQueueClient#list_head
https://docs.apify.com/api/v2#/reference/request-queues/request-collection/list-requests,https://docs.apify.com/api/client/js/reference/class/RequestQueueClient#listRequests,https://docs.apify.com/api/client/python/reference/class/RequestQueueClient#list_requests
https://docs.apify.com/api/v2#/reference/request-queues/request-collection/list-requests,https://docs.apify.com/api/client/js/reference/class/RequestQueueClient#listRequests,https://docs.apify.com/api/client/python/reference/class/RequestQueueClient#list_requests
https://docs.apify.com/api/v2#/reference/request-queues/request-lock/prolong-request-lock,https://docs.apify.com/api/client/js/reference/class/RequestQueueClient#prolongRequestLock,https://docs.apify.com/api/client/python/reference/class/RequestQueueClient#prolong_request_lock
https://docs.apify.com/api/v2#/reference/request-queues/queue/update-request-queue,https://docs.apify.com/api/client/js/reference/class/RequestQueueClient#update,https://docs.apify.com/api/client/python/reference/class/RequestQueueClient#update
https://docs.apify.com/api/v2#/reference/request-queues/request/update-request,https://docs.apify.com/api/client/js/reference/class/RequestQueueClient#updateRequest,https://docs.apify.com/api/client/python/reference/class/RequestQueueClient#update_request
https://docs.apify.com/api/v2#/reference/request-queues/queue-collection/create-request-queue,https://docs.apify.com/api/client/js/reference/class/RequestQueueCollectionClient#getOrCreate,https://docs.apify.com/api/client/python/reference/class/RequestQueueCollectionClient#get_or_create
https://docs.apify.com/api/v2#/reference/request-queues/queue-collection/get-list-of-request-queues,https://docs.apify.com/api/client/js/reference/class/RequestQueueCollectionClient#list,https://docs.apify.com/api/client/python/reference/class/RequestQueueCollectionClient#list
https://docs.apify.com/api/v2#/reference/actor-runs/abort-run/abort-run,https://docs.apify.com/api/client/js/reference/class/RunClient#abort,https://docs.apify.com/api/client/python/reference/class/RunClient#abort
